ip,asn,asn_name,country,city,latitude,longitude,isp,threat_type,malware_family,confidence,comments
45.9.148.212,AS9009,M247 Ltd,Romania,Bucharest,44.4323,26.1063,M247 Europe,SSH brute force,Mirai,High,"High-volume SSH traffic consistent with botnet propagation"
185.255.96.44,AS205555,Global Data Networks,Netherlands,Amsterdam,52.3676,4.9041,Host Sailor,Botnet scanning,Gafgyt,High,"Multiple TCP/23 and TCP/2323 hits; typical Gafgyt signature"
198.98.51.104,AS8100,QuadraNet,United States,Los Angeles,34.0522,-118.2437,QuadraNet Enterprises,Masscan sweeps,None,High,"High-rate port scan from VPS node"
128.199.147.187,AS14061,DigitalOcean,Singapore,Singapore,1.3521,103.8198,DigitalOcean,Web exploit attempts,None,Medium,"HTTP exploit attempts targeting /wp-login and /shell"
103.146.203.82,AS133296,LayerHost,India,Mumbai,19.0760,72.8777,LayerHost,Telnet credential stuffing,IoT botnet,High,"Telnet propagation; repeating default creds"
222.186.30.92,AS4837,China Unicom,China,Nanjing,32.0603,118.7969,China Unicom,SSH brute force,Unknown bot,High,"Classic Chinese brute force infrastructure"
176.111.173.40,AS200019,Global Layer,Netherlands,Rotterdam,51.9244,4.4777,Global Layer BV,Mixed probing,None,Medium,"Combined SQL and SSH probes"
91.132.137.234,AS208294,Scaleway SAS,France,Paris,48.8566,2.3522,Scaleway,CVE exploit attempts,None,Medium,"Attempted CVE-2021 web payloads"
80.82.77.139,AS50340,BlazingFast,Ukraine,Kyiv,50.4501,30.5234,BlazingFast C2 Host,High-rate scanning,None,High,"Known C2 infrastructure in multiple public feeds"
118.24.150.34,AS45090,Tencent Cloud,China,Shenzhen,22.5429,114.0596,Tencent Cloud,Mirai propagation,Mirai,High,"Repeated Mirai-like user-agent + payload pattern"
139.162.71.42,AS20473,Linode,Japan,Tokyo,35.6762,139.6503,Linode,Hybrid SSH/HTTP scanning,None,Medium,"SSH, HTTP, and admin page brute force"
185.219.81.90,AS209533,Unknown,Russia,Moscow,55.7558,37.6176,Unknown ISP,RDP brute force,None,High,"Multiple RDP dictionary attacks"
43.154.58.112,AS37963,Tencent Cloud,China,Guangzhou,23.1291,113.2644,Tencent Cloud,Web exploit attempts,PHP exploit kits,High,"RCE probes consistent with automated exploit kits"
170.210.201.24,AS28167,Telecom Argentina,Argentina,Buenos Aires,-34.6037,-58.3816,Telecom Argentina,Worm-like scanning,Unknown,Medium,"Sequential scanning behavior"
193.93.62.146,AS203727,Unknown,Bulgaria,Sofia,42.6977,23.3219,Unknown,Botnet credential stuffing,Botnet node,High,"Part of credential stuffing cluster"
